,#test,#cities,frontier,time,generated,expanded
0,test#0,5,1,0.000028,39,62
1,test#0,10,0,0.083947,109601,109600
2,test#0,15,0,600.000064,50712744,106046883
3,test#0,20,-1,600,-1,-1
4,test#0,24,-1,600,-1,-1
5,test#1,5,4,0.000030,43,60
6,test#1,10,2,0.004667,3053,6169
7,test#1,15,19,89.126063,13932844,29952724
8,test#1,20,-1,600,-1,-1
9,test#1,25,-1,600,-1,-1
10,test#2,5,4,0.000052,32,50
11,test#2,10,-1,600,-1,-1
12,test#2,15,0,600.000193,31696297,101932967
13,test#2,20,-1,600,-1,-1
14,test#2,25,-1,600,-1,-1
15,test#2,26,-1,600,-1,-1
16,test#3,5,1,0.000020,16,27
17,test#3,10,3,0.021036,9279,24880
18,test#3,15,14,8.014091,1396947,3911637
19,test#3,20,2,600.000016,44141199,102390324
20,test#3,25,-1,600,-1,-1
21,test#3,30,-1,600,-1,-1
22,test#4,5,1,0.000032,34,56
23,test#4,10,8,0.018751,7045,18838
24,test#4,15,9,30.959138,3519096,12986227
25,test#4,20,-1,600,-1,-1
26,test#4,25,-1,600,-1,-1
27,test#5,5,4,0.000151,53,73
28,test#5,10,8,0.067329,24777,63949
29,test#5,15,7,2.640753,521371,1587046
30,test#5,20,8,600.000137,24723443,99998021
31,test#5,23,5,600.000327,16465997,104262774
32,test#6,5,1,0.000016,15,30
33,test#6,10,4,0.011636,5507,13924
34,test#6,15,4,600.000079,46470071,101702361
35,test#6,20,-1,600,-1,-1
36,test#6,25,-1,600,-1,-1
37,test#6,26,-1,600,-1,-1
38,test#7,5,0,0.000044,16,15
39,test#7,10,-1,600,-1,-1
40,test#7,15,0,322.727076,108505112,108505111
41,test#7,20,-1,600,-1,-1
42,test#7,25,-1,600,-1,-1
43,test#7,27,-1,600,-1,-1
44,test#8,5,1,0.000017,16,30
45,test#8,10,5,0.007258,5351,7846
46,test#8,15,16,36.303447,8128804,15125609
47,test#8,20,-1,600,-1,-1
48,test#8,25,-1,600,-1,-1
49,test#8,26,-1,600,-1,-1
50,test#9,5,3,0.000027,37,50
51,test#9,10,8,0.009135,4015,12402
52,test#9,15,13,4.271509,417484,2294748
53,test#9,20,-1,600,-1,-1
54,test#9,25,-1,600,-1,-1
55,test#9,27,-1,600,-1,-1
56,test#10,5,0,0.000010,16,15
57,test#10,10,-1,600,-1,-1
58,test#10,15,0,600.000299,39230803,102689938
59,test#10,20,-1,600,-1,-1
60,test#10,25,-1,600,-1,-1
61,test#10,28,-1,600,-1,-1
62,test#11,5,4,0.000033,50,73
63,test#11,10,0,0.082545,109601,109600
64,test#11,15,0,600.000034,36372593,104471709
65,test#11,20,-1,600,-1,-1
66,test#11,24,-1,600,-1,-1
67,test#12,5,4,0.000030,40,63
68,test#12,10,8,0.029152,11589,35343
69,test#12,15,17,3.001462,336920,1707552
70,test#12,20,18,600.000158,14458241,101529493
71,test#12,25,-1,600,-1,-1
72,test#12,27,-1,600,-1,-1
73,test#13,5,0,0.000009,16,15
74,test#13,10,0,0.087801,109601,109600
75,test#13,15,0,600.000252,38629707,102350742
76,test#13,20,-1,600,-1,-1
77,test#13,25,-1,600,-1,-1
78,test#13,27,-1,600,-1,-1
79,test#14,5,3,0.000026,36,53
80,test#14,10,4,0.005437,4658,7107
81,test#14,15,11,3.887907,758452,1935140
82,test#14,20,20,251.501269,16188691,65592691
83,test#14,25,-1,600,-1,-1
84,test#15,5,2,0.000123,32,54
85,test#15,10,5,0.017141,4152,9681
86,test#15,15,13,26.158431,4282950,10779142
87,test#15,20,-1,600,-1,-1
88,test#15,25,-1,600,-1,-1
89,test#15,27,-1,600,-1,-1
90,test#16,5,1,0.000032,5,11
91,test#16,10,-1,600,-1,-1
92,test#16,15,0,600.000008,39446189,101875088
93,test#16,20,-1,600,-1,-1
94,test#16,25,-1,600,-1,-1
95,test#16,29,-1,600,-1,-1
96,test#17,5,3,0.000031,38,56
97,test#17,10,10,0.026971,13544,27071
98,test#17,15,-1,600,-1,-1
99,test#17,20,-1,600,-1,-1
100,test#17,24,-1,600,-1,-1
101,test#18,5,1,0.000052,18,22
102,test#18,10,3,0.018472,3765,7907
103,test#18,15,9,2.256619,432455,1181012
104,test#18,20,9,600.000008,31183616,99266487
105,test#18,25,-1,600,-1,-1
106,test#18,27,-1,600,-1,-1
107,test#19,5,1,0.000086,35,56
108,test#19,10,11,0.022651,7953,17890
109,test#19,15,20,24.928355,3116546,10142950
110,test#19,20,6,32.822235,7601080,11764733
111,test#19,24,2,600.000077,22506772,102354166
112,test#20,5,1,0.000021,25,43
113,test#20,10,5,0.002993,1798,3798
114,test#20,15,1,0.022952,18412,19712
115,test#20,20,4,132.358722,8844689,37131797
116,test#20,25,-1,600,-1,-1
117,test#20,28,1,600.000151,44728691,107030436
118,test#21,5,1,0.000016,18,22
119,test#21,10,6,0.007894,3256,9181
120,test#21,15,5,0.714921,150677,465935
121,test#21,20,3,3.560363,374008,1870419
122,test#21,24,1,0.065789,5534,59121
123,test#22,5,2,0.000026,34,56
124,test#22,10,-1,600,-1,-1
125,test#22,15,13,2.633556,341691,1515987
126,test#22,20,27,126.799283,5416623,37570753
127,test#22,25,-1,600,-1,-1
128,test#22,26,-1,600,-1,-1
129,test#23,5,2,0.000025,30,36
130,test#23,10,3,0.022203,3731,5640
131,test#23,15,11,59.837451,11411892,21281880
132,test#23,20,1,0.111893,38568,39761
133,test#23,24,1,0.574641,131267,132346
134,test#24,5,1,0.000021,22,42
135,test#24,10,1,0.000247,122,465
136,test#24,15,1,0.079019,15491,82880
137,test#24,20,1,0.002275,482,2976
138,test#24,23,1,0.029154,3094,27906
139,test#25,5,1,0.000014,16,30
140,test#25,10,5,0.008372,8021,9393
141,test#25,15,3,1.941015,771433,834835
142,test#25,20,-1,600,-1,-1
143,test#25,25,-1,600,-1,-1
144,test#26,5,1,0.000034,48,70
145,test#26,10,1,0.000333,176,631
146,test#26,15,1,7.244611,896828,3870511
147,test#26,20,1,4.029485,281177,2110231
148,test#26,24,1,9.945375,372774,4319632
149,test#27,5,1,0.000023,27,46
150,test#27,10,1,0.003382,1790,5585
151,test#27,15,1,8.521914,1044588,4745498
152,test#27,20,1,3.378436,217413,1855787
153,test#27,24,1,6.438916,301431,2980238
154,test#28,5,1,0.000023,30,49
155,test#28,10,1,0.001351,748,2365
156,test#28,15,1,6.067284,1031558,3406090
157,test#28,20,-1,600,-1,-1
158,test#28,24,1,208.977203,13414748,71333360
159,test#29,5,1,0.000031,53,76
160,test#29,10,-1,600,-1,-1
161,test#29,15,1,37.831793,3567295,15320565
162,test#29,20,-1,600,-1,-1
163,test#29,25,-1,600,-1,-1
